Date,Tweets
2013/12/21,15
2013/12/22,10
2013/12/23,47
2013/12/24,42
2013/12/25,17
2013/12/26,29
2013/12/27,35
2013/12/28,13
2013/12/29,8
2013/12/30,25
2013/12/31,234
